Record of quality controled PAR Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

*********** Values exceeding monthly maximal threshold replaced with missing value (NaN) ***********

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold

*********** Values less than minimal monthly threshold replaced with missing value (NaN) ***********

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold

** Slightly negative values that are also greater than the minimum monthly threshold replaced with 0.0 **

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold
****************************************** REPEATING VALUES ********************************************

Record of quality controled PAR Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

Date/Time	TimeZone	EDay	Replaced Value
2016-01-01 21:00	UCT+1	 -1	     291.000
2016-01-01 22:00	UCT+1	  0	     291.000
2016-01-01 23:00	UCT+1	  0	     291.000
2016-01-02 00:00	UCT+1	 -1	     291.000
2016-01-02 21:00	UCT+1	 -3	     300.000
2016-01-02 22:00	UCT+1	 -3	     300.000
2016-01-02 23:00	UCT+1	 -3	     300.000
2016-01-03 00:00	UCT+1	 -3	     300.000
2016-01-03 20:00	UCT+1	 -4	     263.000
2016-01-03 21:00	UCT+1	 -4	     263.000
2016-01-03 22:00	UCT+1	 -4	     263.000
2016-01-03 23:00	UCT+1	 -4	     263.000
2016-01-04 00:00	UCT+1	 -4	     263.000
2016-01-04 21:00	UCT+1	 -4	     330.000
2016-01-04 22:00	UCT+1	 -5	     330.000
2016-01-04 23:00	UCT+1	 -4	     330.000
2016-01-05 00:00	UCT+1	 -5	     330.000
2016-01-05 21:00	UCT+1	 -9	     349.000
2016-01-05 22:00	UCT+1	 -9	     349.000
2016-01-05 23:00	UCT+1	-10	     349.000
2016-01-06 00:00	UCT+1	-11	     349.000
2016-01-06 21:00	UCT+1	-11	     313.000
2016-01-06 22:00	UCT+1	-11	     313.000
2016-01-06 23:00	UCT+1	-11	     313.000
2016-01-07 00:00	UCT+1	-11	     313.000
2016-01-07 21:00	UCT+1	-16	     304.000
2016-01-07 22:00	UCT+1	-16	     304.000
2016-01-07 23:00	UCT+1	-15	     304.000
2016-01-08 00:00	UCT+1	-15	     304.000
2016-01-08 21:00	UCT+1	 -6	     318.000
2016-01-08 22:00	UCT+1	 -6	     318.000
2016-01-08 23:00	UCT+1	 -7	     318.000
2016-01-09 00:00	UCT+1	 -7	     318.000
2016-01-09 21:00	UCT+1	-11	     308.000
2016-01-09 22:00	UCT+1	-12	     308.000
2016-01-09 23:00	UCT+1	-11	     308.000
2016-01-10 00:00	UCT+1	-10	     308.000
2016-01-10 20:00	UCT+1	 -1	     170.000
2016-01-10 21:00	UCT+1	  0	     170.000
2016-01-10 22:00	UCT+1	  0	     170.000
2016-01-10 23:00	UCT+1	  0	     170.000
2016-01-11 00:00	UCT+1	  0	     170.000
2016-01-11 20:00	UCT+1	  1	     251.000
2016-01-11 21:00	UCT+1	  1	     251.000
2016-01-11 22:00	UCT+1	  0	     251.000
2016-01-11 23:00	UCT+1	  0	     251.000
2016-01-12 00:00	UCT+1	  0	     251.000
2016-01-12 21:00	UCT+1	 -5	     370.000
2016-01-12 22:00	UCT+1	 -5	     370.000
2016-01-12 23:00	UCT+1	 -5	     370.000
2016-01-13 00:00	UCT+1	 -5	     370.000
2016-01-13 21:00	UCT+1	 -4	     351.000
2016-01-13 22:00	UCT+1	 -4	     351.000
2016-01-13 23:00	UCT+1	 -5	     351.000
2016-01-14 00:00	UCT+1	 -6	     351.000
2016-01-14 21:00	UCT+1	-13	     379.000
2016-01-14 22:00	UCT+1	-13	     379.000
2016-01-14 23:00	UCT+1	-13	     379.000
2016-01-15 00:00	UCT+1	-13	     379.000
2016-01-15 22:00	UCT+1	-12	     389.000
2016-01-15 23:00	UCT+1	-11	     389.000
2016-01-16 00:00	UCT+1	-10	     389.000
2016-01-16 22:00	UCT+1	-11	     385.000
2016-01-16 23:00	UCT+1	-11	     385.000
2016-01-17 00:00	UCT+1	-11	     385.000
2016-01-17 22:00	UCT+1	 -8	     413.000
2016-01-17 23:00	UCT+1	 -8	     413.000
2016-01-18 00:00	UCT+1	 -7	     413.000
2016-01-18 22:00	UCT+1	 -8	     402.000
2016-01-18 23:00	UCT+1	 -8	     402.000
2016-01-19 00:00	UCT+1	 -9	     402.000
2016-01-19 22:00	UCT+1	 -5	     401.000
2016-01-19 23:00	UCT+1	 -5	     401.000
2016-01-20 00:00	UCT+1	 -6	     401.000
2016-01-20 22:00	UCT+1	 -6	     383.000
2016-01-20 23:00	UCT+1	 -6	     383.000
2016-01-21 00:00	UCT+1	 -6	     383.000
2016-01-21 22:00	UCT+1	 -6	     405.000
2016-01-21 23:00	UCT+1	 -6	     405.000
2016-01-22 00:00	UCT+1	 -6	     405.000
2016-01-22 22:00	UCT+1	 -9	     438.000
2016-01-22 23:00	UCT+1	 -9	     438.000
2016-01-23 00:00	UCT+1	 -9	     438.000
2016-01-23 22:00	UCT+1	 -1	     417.000
2016-01-23 23:00	UCT+1	 -1	     417.000
2016-01-24 00:00	UCT+1	 -1	     417.000
2016-01-24 22:00	UCT+1	 -1	     387.000
2016-01-24 23:00	UCT+1	 -1	     387.000
2016-01-25 00:00	UCT+1	 -1	     387.000
2016-01-25 22:00	UCT+1	  1	     420.000
2016-01-25 23:00	UCT+1	  1	     420.000
2016-01-26 00:00	UCT+1	  1	     420.000
2016-01-26 22:00	UCT+1	  2	     412.000
2016-01-26 23:00	UCT+1	  2	     412.000
2016-01-27 00:00	UCT+1	  2	     412.000
2016-01-27 22:00	UCT+1	  4	     419.000
2016-01-27 23:00	UCT+1	  4	     419.000
2016-01-28 00:00	UCT+1	  4	     419.000
2016-01-28 22:00	UCT+1	  1	     416.000
2016-01-28 23:00	UCT+1	  0	     416.000
2016-01-29 00:00	UCT+1	  0	     416.000
2016-01-29 22:00	UCT+1	  6	     419.000
2016-01-29 23:00	UCT+1	  6	     419.000
2016-01-30 00:00	UCT+1	  6	     419.000
2016-01-30 22:00	UCT+1	  2	     450.000
2016-01-30 23:00	UCT+1	  1	     450.000
2016-01-31 00:00	UCT+1	  1	     450.000
2016-01-31 22:00	UCT+1	  0	     434.000
2016-01-31 23:00	UCT+1	  0	     434.000
2016-02-01 00:00	UCT+1	 -2	     434.000
2016-02-01 22:00	UCT+1	  0	     457.000
2016-02-01 23:00	UCT+1	  0	     457.000
2016-02-02 00:00	UCT+1	  1	     457.000
2016-02-02 22:00	UCT+1	  3	     460.000
2016-02-02 23:00	UCT+1	  3	     460.000
2016-02-03 00:00	UCT+1	  3	     460.000
2016-02-03 22:00	UCT+1	 -2	     461.000
2016-02-03 23:00	UCT+1	 -3	     461.000
2016-02-04 00:00	UCT+1	 -3	     461.000
2016-02-04 23:00	UCT+1	 -3	     489.000
2016-02-05 00:00	UCT+1	 -3	     489.000
2016-02-05 22:00	UCT+1	 -3	     487.000
2016-02-05 23:00	UCT+1	 -4	     487.000
2016-02-06 00:00	UCT+1	 -4	     487.000
2016-02-06 22:00	UCT+1	  5	     446.000
2016-02-06 23:00	UCT+1	  5	     446.000
2016-02-07 00:00	UCT+1	  5	     446.000
2016-02-07 22:00	UCT+1	  4	     466.000
2016-02-07 23:00	UCT+1	  4	     466.000
2016-02-08 00:00	UCT+1	  4	     466.000
2016-02-08 22:00	UCT+1	  4	     490.000
2016-02-08 23:00	UCT+1	  4	     490.000
2016-02-09 00:00	UCT+1	  4	     490.000
2016-02-09 23:00	UCT+1	  2	     468.000
2016-02-10 00:00	UCT+1	  3	     468.000
2016-02-10 22:00	UCT+1	  3	     359.000
2016-02-10 23:00	UCT+1	  2	     359.000
2016-02-11 00:00	UCT+1	  3	     359.000
2016-02-11 22:00	UCT+1	  0	     469.000
2016-02-11 23:00	UCT+1	  0	     469.000
2016-02-12 00:00	UCT+1	  0	     469.000
2016-02-12 23:00	UCT+1	 -2	     515.000
2016-02-13 00:00	UCT+1	 -2	     515.000
2016-02-13 23:00	UCT+1	 -1	     513.000
2016-02-14 00:00	UCT+1	  0	     513.000
2016-02-14 23:00	UCT+1	 -3	     527.000
2016-02-15 00:00	UCT+1	 -3	     527.000
2016-02-15 23:00	UCT+1	 -8	     497.000
2016-02-16 00:00	UCT+1	 -9	     497.000
2016-02-16 23:00	UCT+1	 -3	     557.000
2016-02-17 00:00	UCT+1	 -2	     557.000
2016-02-17 23:00	UCT+1	 -2	     553.000
2016-02-18 00:00	UCT+1	 -2	     553.000
2016-02-18 23:00	UCT+1	  0	     497.000
2016-02-19 00:00	UCT+1	  0	     497.000
2016-02-19 23:00	UCT+1	 -2	     533.000
2016-02-20 00:00	UCT+1	 -1	     533.000
2016-02-20 23:00	UCT+1	  1	     538.000
2016-02-21 00:00	UCT+1	  1	     538.000
2016-02-21 23:00	UCT+1	  0	     560.000
2016-02-22 00:00	UCT+1	  0	     560.000
2016-02-22 23:00	UCT+1	  0	     563.000
2016-02-23 00:00	UCT+1	  0	     563.000
2016-02-23 23:00	UCT+1	 -2	     567.000
2016-02-24 00:00	UCT+1	 -3	     567.000
2016-02-24 23:00	UCT+1	 -2	     594.000
2016-02-25 00:00	UCT+1	 -2	     594.000
2016-02-25 23:00	UCT+1	 -2	     606.000
2016-02-26 00:00	UCT+1	 -2	     606.000
2016-02-26 23:00	UCT+1	 -9	     557.000
2016-02-27 00:00	UCT+1	-10	     557.000
2016-02-27 23:00	UCT+1	 -2	     602.000
2016-02-28 00:00	UCT+1	 -3	     602.000
2016-02-28 23:00	UCT+1	 -7	     603.000
2016-02-29 00:00	UCT+1	 -9	     603.000
2016-03-01 00:00	UCT+1	 -5	     612.000
2016-03-02 00:00	UCT+1	  0	     616.000
2016-03-02 23:00	UCT+1	  0	     607.000
2016-03-03 00:00	UCT+1	  0	     607.000
2016-03-03 23:00	UCT+1	  1	     581.000
2016-03-04 00:00	UCT+1	  1	     581.000
2016-03-04 23:00	UCT+1	  0	     558.000
2016-03-05 00:00	UCT+1	  0	     558.000
2016-03-05 23:00	UCT+1	  0	     579.000
2016-03-06 00:00	UCT+1	  0	     579.000
2016-03-06 22:00	UCT+1	  0	     523.000
2016-03-06 23:00	UCT+1	  0	     523.000
2016-03-07 00:00	UCT+1	  1	     523.000
2016-03-07 23:00	UCT+1	  2	     572.000
2016-03-08 00:00	UCT+1	  2	     572.000
2016-03-09 00:00	UCT+1	  1	     639.000
2016-03-10 00:00	UCT+1	  0	     625.000
2016-03-11 00:00	UCT+1	 -1	     672.000
2016-03-12 00:00	UCT+1	 -3	     662.000
2016-03-13 00:00	UCT+1	 -1	     677.000
2016-03-14 00:00	UCT+1	  1	     677.000
2016-03-15 00:00	UCT+1	  2	     676.000
2016-03-16 00:00	UCT+1	  2	     649.000
2016-03-17 00:00	UCT+1	  1	     691.000
2016-03-18 00:00	UCT+1	  3	     703.000
2016-03-19 00:00	UCT+1	 -2	     695.000
2016-03-20 00:00	UCT+1	  0	     686.000
2016-03-21 00:00	UCT+1	  0	     716.000
2016-03-22 00:00	UCT+1	 -1	     722.000
2016-03-23 00:00	UCT+1	  1	     716.000
2016-03-24 00:00	UCT+1	  0	     688.000
2016-03-25 00:00	UCT+1	  2	     729.000
2016-03-26 00:00	UCT+1	  3	     721.000
2016-03-27 00:00	UCT+1	  5	     751.000
2016-03-28 00:00	UCT+1	  4	     748.000
2016-03-31 00:00	UCT+1	  3	     752.000
2016-04-01 00:00	UCT+1	  1	     759.000
2016-04-03 00:00	UCT+1	  5	     771.000
2016-04-05 00:00	UCT+1	  3	     776.000
2016-04-08 00:00	UCT+1	  5	     752.000
2016-06-01 22:00	UCT+1	 15	     781.000
2016-06-01 23:00	UCT+1	 13	     781.000
2016-06-02 00:00	UCT+1	 13	     781.000
