Record of quality controled Total Incoming Radiation Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

*********** Values exceeding monthly maximal threshold replaced with missing value (NaN) ***********

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold

*********** Values less than minimal monthly threshold replaced with missing value (NaN) ***********

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold

** Slightly negative values that are also greater than the minimum monthly threshold replaced with 0.0 **

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold
2016-01-03 02:00	UCT+1	  3	      -0.532	     -10.000
2016-01-03 06:00	UCT+1	  3	      -0.030	     -10.000
2016-01-04 00:00	UCT+1	  4	      -0.301	     -10.000
2016-01-04 05:00	UCT+1	  4	      -0.202	     -10.000
2016-01-04 06:00	UCT+1	  4	      -1.124	     -10.000
2016-01-04 07:00	UCT+1	  4	      -0.429	     -10.000
2016-01-04 08:00	UCT+1	  4	      -0.468	     -10.000
2016-01-04 16:00	UCT+1	  4	      -1.558	     -10.000
2016-01-04 17:00	UCT+1	  4	      -1.193	     -10.000
2016-01-04 18:00	UCT+1	  4	      -0.838	     -10.000
2016-01-04 19:00	UCT+1	  4	      -1.636	     -10.000
2016-01-04 20:00	UCT+1	  4	      -1.212	     -10.000
2016-01-04 21:00	UCT+1	  4	      -2.602	     -10.000
2016-01-04 22:00	UCT+1	  4	      -2.376	     -10.000
2016-01-04 23:00	UCT+1	  4	      -1.843	     -10.000
2016-01-05 00:00	UCT+1	  5	      -1.686	     -10.000
2016-01-05 01:00	UCT+1	  5	      -1.977	     -10.000
2016-01-05 02:00	UCT+1	  5	      -2.110	     -10.000
2016-01-05 03:00	UCT+1	  5	      -1.311	     -10.000
2016-01-05 04:00	UCT+1	  5	      -1.010	     -10.000
2016-01-05 05:00	UCT+1	  5	      -0.774	     -10.000
2016-01-05 06:00	UCT+1	  5	      -0.498	     -10.000
2016-01-05 07:00	UCT+1	  5	      -0.168	     -10.000
2016-01-05 16:00	UCT+1	  5	      -1.360	     -10.000
2016-01-05 17:00	UCT+1	  5	      -4.268	     -10.000
2016-01-05 18:00	UCT+1	  5	      -3.662	     -10.000
2016-01-05 19:00	UCT+1	  5	      -0.838	     -10.000
2016-01-05 23:00	UCT+1	  5	      -2.435	     -10.000
2016-01-06 00:00	UCT+1	  6	      -3.090	     -10.000
2016-01-06 01:00	UCT+1	  6	      -1.548	     -10.000
