Record of quality controled Water Level Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

*********** Values exceeding 10.7000 replaced with missing value (NaN) ***********

Date/Time	TimeZone	EDay	Replaced Value

*********** Values less than 9.00000 replaced with missing value (NaN) ***********

Date/Time	TimeZone	EDay	Replaced Value
2017-03-11 22:00	UCT+1	 -1	       8.127
2017-03-11 23:00	UCT+1	 -1	       8.083
2017-03-12 00:00	UCT+1	 -1	       8.083
2017-03-12 01:00	UCT+1	  0	       8.083
2017-03-12 02:00	UCT+1	 -1	       8.083
2017-03-12 03:00	UCT+1	  0	       8.083
2017-03-12 04:00	UCT+1	  0	       8.083
2017-03-12 05:00	UCT+1	 -1	       8.083
2017-03-12 06:00	UCT+1	 -1	       8.083
2017-03-12 07:00	UCT+1	 -1	       8.083
2017-03-12 08:00	UCT+1	  0	       8.083
2017-03-12 09:00	UCT+1	  1	       8.083
2017-03-12 10:00	UCT+1	  2	       8.083
2017-03-12 11:00	UCT+1	  4	       8.083
2017-03-12 12:00	UCT+1	  5	       8.083
2017-03-12 13:00	UCT+1	  6	       8.083
2017-03-12 14:00	UCT+1	  5	       8.083
2017-03-12 15:00	UCT+1	  5	       8.083
2017-03-12 16:00	UCT+1	  5	       8.083
2017-03-12 17:00	UCT+1	  5	       8.083
2017-03-12 18:00	UCT+1	  5	       8.083
2017-03-12 19:00	UCT+1	  4	       8.083
2017-03-12 20:00	UCT+1	  4	       8.083
2017-03-12 21:00	UCT+1	  4	       8.083
2017-03-12 22:00	UCT+1	  3	       8.083
2017-03-12 23:00	UCT+1	  3	       8.083
2017-03-13 00:00	UCT+1	  3	       8.083
2017-03-13 01:00	UCT+1	  0	       8.083
2017-03-13 02:00	UCT+1	  3	       8.083
2017-03-13 03:00	UCT+1	  3	       8.083
2017-03-13 04:00	UCT+1	  3	       8.083
2017-03-13 05:00	UCT+1	  3	       8.083
2017-03-13 06:00	UCT+1	  2	       8.083
2017-03-13 07:00	UCT+1	  2	       8.083
2017-03-13 08:00	UCT+1	  2	       8.083
2017-03-13 09:00	UCT+1	  2	       8.120
2017-03-13 10:00	UCT+1	  3	       8.083
2017-03-13 11:00	UCT+1	  5	       8.083
2017-03-13 12:00	UCT+1	  5	       8.083
2017-03-13 13:00	UCT+1	  5	       8.083
2017-03-13 14:00	UCT+1	  6	       8.083
2017-03-13 15:00	UCT+1	  6	       8.083
2017-03-13 16:00	UCT+1	  7	       8.083
2017-03-13 17:00	UCT+1	  6	       8.083
2017-03-13 18:00	UCT+1	  5	       8.083
2017-03-13 19:00	UCT+1	  3	       8.083
2017-03-13 20:00	UCT+1	  2	       8.083
2017-03-13 21:00	UCT+1	  2	       8.083
2017-03-13 22:00	UCT+1	  2	       8.083
2017-03-13 23:00	UCT+1	  2	       8.083
2017-03-14 00:00	UCT+1	  2	       8.083
2017-03-14 01:00	UCT+1	  0	       8.083
2017-03-14 02:00	UCT+1	  2	       8.083
2017-03-14 03:00	UCT+1	  2	       8.083
2017-03-14 04:00	UCT+1	  2	       8.083
2017-03-14 05:00	UCT+1	  3	       8.083
2017-03-14 06:00	UCT+1	  3	       8.083
2017-03-14 07:00	UCT+1	  3	       8.083
2017-03-14 08:00	UCT+1	  3	       8.083
2017-03-14 09:00	UCT+1	  3	       8.083
2017-03-14 10:00	UCT+1	  3	       8.083
2017-03-14 11:00	UCT+1	  4	       8.083
2017-03-14 12:00	UCT+1	  4	       8.680
2017-03-14 14:00	UCT+1	  6	       8.220
2017-03-14 19:00	UCT+1	  6	       8.253
2017-03-14 20:00	UCT+1	  6	       8.083
2017-03-14 21:00	UCT+1	  6	       8.083
2017-03-14 22:00	UCT+1	  5	       8.083
2017-03-14 23:00	UCT+1	  5	       8.083
2017-03-15 00:00	UCT+1	  5	       8.083
2017-03-15 01:00	UCT+1	  0	       8.083
2017-03-15 02:00	UCT+1	  4	       8.083
2017-03-15 03:00	UCT+1	  4	       8.083
2017-03-15 04:00	UCT+1	  3	       8.083
2017-03-15 05:00	UCT+1	  3	       8.083
2017-03-15 06:00	UCT+1	  3	       8.083
2017-03-15 07:00	UCT+1	  3	       8.083
2017-03-15 08:00	UCT+1	  3	       8.083
2017-03-15 09:00	UCT+1	  3	       8.083
2017-03-15 10:00	UCT+1	  4	       8.083
2017-03-15 11:00	UCT+1	  4	       8.083
2017-03-15 12:00	UCT+1	  5	       8.167
2017-03-15 14:00	UCT+1	  6	       8.976
2018-07-30 11:00	UCT+1	 23	       8.670
2018-07-30 12:00	UCT+1	 24	       8.252
2018-07-30 13:00	UCT+1	 25	       8.427
****************************************** SPIKING VALUES ********************************************

Record of quality controled Water Level Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

Date/Time	TimeZone	EDay	Replaced Value	Run Median	    Change	Num+NaNs	Num Used
2016-08-18 03:00	UCT+1	 15	       9.591	   9.75	   0.16	  48	  48
2016-08-18 04:00	UCT+1	 15	       9.591	   9.75	   0.16	  48	  48
2016-08-18 05:00	UCT+1	 14	       9.591	   9.75	   0.16	  48	  48
2016-08-18 06:00	UCT+1	 14	       9.591	   9.75	   0.16	  48	  48
2016-08-18 07:00	UCT+1	 15	       9.590	   9.75	   0.16	  48	  48
2016-08-18 08:00	UCT+1	 15	       9.590	   9.75	   0.16	  48	  48
2016-08-18 09:00	UCT+1	 15	       9.588	   9.75	   0.16	  48	  48
2016-08-18 10:00	UCT+1	 15	       9.587	   9.75	   0.16	  48	  48
2016-08-18 11:00	UCT+1	 14	       9.585	   9.75	   0.16	  48	  48
2016-08-18 12:00	UCT+1	 14	       9.584	   9.75	   0.16	  48	  48
2016-08-18 13:00	UCT+1	 14	       9.588	   9.75	   0.16	  48	  48
2016-08-18 14:00	UCT+1	 14	       9.597	   9.75	   0.15	  48	  48
2016-08-28 20:00	UCT+1	 12	       9.654	   9.81	   0.15	  48	  48
2016-08-28 21:00	UCT+1	 12	       9.654	   9.81	   0.15	  48	  48
2016-08-28 22:00	UCT+1	 12	       9.653	   9.81	   0.15	  48	  48
2016-08-28 23:00	UCT+1	 12	       9.655	   9.81	   0.15	  48	  48
2016-08-29 22:00	UCT+1	 14	       9.988	   9.80	   0.19	  48	  48
2016-08-29 23:00	UCT+1	 13	       9.974	   9.80	   0.18	  48	  48
2016-08-30 00:00	UCT+1	 13	       9.968	   9.79	   0.18	  48	  48
2016-08-30 01:00	UCT+1	  0	       9.971	   9.79	   0.18	  48	  48
2016-08-30 02:00	UCT+1	 12	       9.994	   9.78	   0.21	  48	  48
2016-08-30 03:00	UCT+1	 12	       9.993	   9.78	   0.21	  48	  48
2016-08-30 04:00	UCT+1	 12	       9.975	   9.78	   0.20	  48	  48
2016-08-30 05:00	UCT+1	 11	       9.954	   9.77	   0.18	  48	  48
2016-08-30 06:00	UCT+1	 11	       9.936	   9.77	   0.16	  48	  48
2016-08-30 07:00	UCT+1	 11	       9.920	   9.77	   0.15	  48	  48
2016-10-31 15:00	UCT+1	  5	       9.561	   9.72	   0.16	  48	  48
2016-10-31 16:00	UCT+1	  4	       9.561	   9.74	   0.18	  48	  48
2016-10-31 17:00	UCT+1	  3	       9.561	   9.77	   0.21	  48	  48
2016-10-31 18:00	UCT+1	  2	       9.561	   9.81	   0.25	  48	  48
2016-10-31 19:00	UCT+1	  2	       9.561	   9.84	   0.28	  48	  48
2016-10-31 20:00	UCT+1	  2	       9.561	   9.84	   0.28	  48	  48
2016-10-31 21:00	UCT+1	  1	       9.561	   9.84	   0.28	  48	  48
2016-10-31 22:00	UCT+1	  1	       9.561	   9.84	   0.28	  48	  48
2016-10-31 23:00	UCT+1	  1	       9.561	   9.84	   0.27	  48	  48
2016-11-01 00:00	UCT+1	  1	       9.561	   9.84	   0.28	  48	  48
2016-11-01 01:00	UCT+1	  0	       9.561	   9.84	   0.27	  48	  48
2016-11-01 02:00	UCT+1	  2	       9.561	   9.84	   0.27	  48	  48
2016-11-01 03:00	UCT+1	  2	       9.561	   9.84	   0.27	  48	  48
2016-11-01 04:00	UCT+1	  2	       9.561	   9.84	   0.27	  48	  48
2016-11-01 05:00	UCT+1	  3	       9.561	   9.84	   0.27	  48	  48
2016-11-01 06:00	UCT+1	  3	       9.561	   9.84	   0.27	  48	  48
2016-11-01 07:00	UCT+1	  2	       9.566	   9.84	   0.27	  48	  48
2016-11-01 08:00	UCT+1	  2	       9.587	   9.84	   0.25	  48	  48
2016-11-01 09:00	UCT+1	  2	       9.609	   9.84	   0.23	  48	  48
2016-11-01 10:00	UCT+1	  3	       9.621	   9.84	   0.22	  48	  48
2016-11-01 11:00	UCT+1	  3	       9.633	   9.84	   0.20	  48	  48
2016-11-01 12:00	UCT+1	  3	       9.646	   9.84	   0.19	  48	  48
2016-11-01 13:00	UCT+1	  3	       9.659	   9.84	   0.18	  48	  48
2016-11-01 14:00	UCT+1	  3	       9.680	   9.84	   0.16	  48	  48
2016-11-02 00:00	UCT+1	  2	       9.963	   9.81	   0.16	  48	  48
2016-11-02 01:00	UCT+1	  0	       9.991	   9.80	   0.19	  48	  48
2016-11-02 02:00	UCT+1	  2	      10.003	   9.80	   0.21	  48	  48
2016-11-02 03:00	UCT+1	  2	       9.999	   9.79	   0.21	  48	  48
2016-11-02 04:00	UCT+1	  2	       9.979	   9.79	   0.19	  48	  48
2016-11-02 05:00	UCT+1	  1	       9.973	   9.78	   0.19	  48	  48
2016-11-02 06:00	UCT+1	  1	       9.970	   9.78	   0.19	  48	  48
2016-11-02 07:00	UCT+1	  1	       9.960	   9.77	   0.19	  48	  48
2016-11-02 08:00	UCT+1	  1	       9.947	   9.77	   0.18	  48	  48
2016-11-02 09:00	UCT+1	  1	       9.935	   9.77	   0.17	  48	  48
2016-11-02 10:00	UCT+1	  1	       9.921	   9.76	   0.16	  48	  48
2016-11-15 17:00	UCT+1	  3	       9.958	   9.81	   0.15	  48	  48
2016-11-15 18:00	UCT+1	  3	       9.973	   9.80	   0.17	  48	  48
2016-11-15 19:00	UCT+1	  3	       9.967	   9.80	   0.17	  48	  48
2016-11-15 20:00	UCT+1	  3	       9.954	   9.80	   0.16	  48	  48
2016-11-18 19:00	UCT+1	  3	       9.976	   9.80	   0.17	  48	  48
2016-11-18 20:00	UCT+1	  3	       9.984	   9.80	   0.18	  48	  48
2016-11-18 21:00	UCT+1	  3	       9.969	   9.80	   0.17	  48	  48
2016-11-18 22:00	UCT+1	  3	       9.951	   9.80	   0.15	  48	  48
2017-03-14 13:00	UCT+1	  5	       9.424	   9.76	   0.34	  69	  48
2017-03-15 13:00	UCT+1	  5	       9.023	   9.76	   0.74	  50	  48
2017-07-17 17:00	UCT+1	 19	       9.578	   9.76	   0.19	  48	  48
2017-07-17 18:00	UCT+1	 19	       9.577	   9.81	   0.23	  48	  48
2017-07-17 19:00	UCT+1	 16	       9.577	   9.85	   0.27	  48	  48
2017-07-17 20:00	UCT+1	 15	       9.578	   9.86	   0.28	  48	  48
2017-07-17 21:00	UCT+1	 15	       9.581	   9.86	   0.28	  48	  48
2017-07-17 22:00	UCT+1	 14	       9.582	   9.86	   0.28	  48	  48
2017-07-17 23:00	UCT+1	 14	       9.585	   9.86	   0.28	  48	  48
2017-07-18 00:00	UCT+1	 14	       9.587	   9.86	   0.27	  48	  48
2017-07-18 01:00	UCT+1	  0	       9.589	   9.86	   0.27	  48	  48
2017-07-18 02:00	UCT+1	 13	       9.590	   9.86	   0.27	  48	  48
2017-07-18 03:00	UCT+1	 13	       9.592	   9.86	   0.27	  48	  48
2017-07-18 04:00	UCT+1	 13	       9.593	   9.86	   0.27	  48	  48
2017-07-18 05:00	UCT+1	 12	       9.594	   9.86	   0.27	  48	  48
2017-07-18 06:00	UCT+1	 13	       9.593	   9.86	   0.27	  48	  48
2017-07-18 07:00	UCT+1	 13	       9.591	   9.86	   0.27	  48	  48
2017-07-18 08:00	UCT+1	 14	       9.588	   9.86	   0.27	  48	  48
2017-07-18 09:00	UCT+1	 15	       9.584	   9.86	   0.28	  48	  48
2017-07-18 10:00	UCT+1	 16	       9.580	   9.86	   0.28	  48	  48
2017-07-18 11:00	UCT+1	 16	       9.578	   9.86	   0.28	  48	  48
2017-07-18 12:00	UCT+1	 17	       9.574	   9.86	   0.29	  48	  48
2017-07-18 13:00	UCT+1	 18	       9.569	   9.86	   0.29	  48	  48
2017-07-18 14:00	UCT+1	 18	       9.566	   9.86	   0.30	  48	  48
2017-07-18 15:00	UCT+1	 18	       9.569	   9.87	   0.30	  48	  48
2017-07-18 16:00	UCT+1	 18	       9.646	   9.88	   0.23	  48	  48
2017-07-18 17:00	UCT+1	 16	       9.716	   9.88	   0.16	  48	  48
2017-07-19 15:00	UCT+1	 17	       9.887	  10.05	   0.17	  48	  48
2017-07-19 16:00	UCT+1	 16	       9.876	  10.06	   0.18	  48	  48
2017-07-19 17:00	UCT+1	 17	       9.869	  10.06	   0.19	  48	  48
2017-07-19 18:00	UCT+1	 16	       9.864	  10.06	   0.19	  48	  48
2017-07-19 19:00	UCT+1	 16	       9.862	  10.06	   0.19	  48	  48
2017-07-19 20:00	UCT+1	 15	       9.860	  10.06	   0.20	  48	  48
2017-07-19 21:00	UCT+1	 15	       9.859	  10.06	   0.20	  48	  48
2017-07-19 22:00	UCT+1	 14	       9.859	  10.06	   0.20	  48	  48
2017-07-19 23:00	UCT+1	 14	       9.859	  10.06	   0.20	  48	  48
2017-07-20 00:00	UCT+1	 14	       9.859	  10.06	   0.20	  48	  48
2017-07-20 01:00	UCT+1	  0	       9.859	  10.06	   0.20	  48	  48
2017-07-20 02:00	UCT+1	 13	       9.859	  10.06	   0.20	  48	  48
2017-07-20 03:00	UCT+1	 14	       9.860	  10.06	   0.20	  48	  48
2017-07-20 04:00	UCT+1	 14	       9.860	  10.06	   0.20	  48	  48
2017-07-20 05:00	UCT+1	 14	       9.860	  10.06	   0.20	  48	  48
2017-07-20 06:00	UCT+1	 14	       9.860	  10.06	   0.20	  48	  48
2017-07-20 07:00	UCT+1	 14	       9.860	  10.06	   0.20	  48	  48
2017-07-20 08:00	UCT+1	 16	       9.859	  10.06	   0.20	  48	  48
2017-07-20 09:00	UCT+1	 17	       9.857	  10.06	   0.20	  48	  48
2017-07-20 10:00	UCT+1	 17	       9.855	  10.06	   0.20	  48	  48
2017-07-20 11:00	UCT+1	 17	       9.855	  10.06	   0.21	  48	  48
2017-07-20 12:00	UCT+1	 17	       9.853	  10.06	   0.21	  48	  48
2017-07-20 13:00	UCT+1	 17	       9.882	  10.06	   0.18	  48	  48
2017-07-26 20:00	UCT+1	 16	      10.067	   9.90	   0.17	  48	  48
2017-07-26 21:00	UCT+1	 15	      10.068	   9.87	   0.19	  48	  48
2017-07-26 22:00	UCT+1	 15	      10.067	   9.86	   0.21	  48	  48
2017-07-26 23:00	UCT+1	 15	      10.067	   9.84	   0.23	  48	  48
2017-07-27 00:00	UCT+1	 14	      10.068	   9.83	   0.24	  48	  48
2017-07-27 01:00	UCT+1	  0	      10.068	   9.82	   0.25	  48	  48
2017-07-27 02:00	UCT+1	 14	      10.069	   9.81	   0.26	  48	  48
2017-07-27 03:00	UCT+1	 13	      10.069	   9.80	   0.27	  48	  48
2017-07-27 04:00	UCT+1	 13	      10.069	   9.79	   0.28	  48	  48
2017-07-27 05:00	UCT+1	 14	      10.069	   9.78	   0.29	  48	  48
2017-07-27 06:00	UCT+1	 15	      10.069	   9.77	   0.30	  48	  48
2017-07-27 07:00	UCT+1	 16	      10.069	   9.77	   0.30	  48	  48
2017-07-27 08:00	UCT+1	 18	      10.069	   9.76	   0.31	  48	  48
2017-07-27 09:00	UCT+1	 19	      10.068	   9.75	   0.32	  48	  48
2017-07-27 10:00	UCT+1	 20	      10.067	   9.74	   0.32	  48	  48
2017-07-27 11:00	UCT+1	 21	      10.057	   9.74	   0.32	  48	  48
2017-07-27 12:00	UCT+1	 20	      10.001	   9.74	   0.26	  48	  48
2017-07-27 13:00	UCT+1	 21	      10.041	   9.74	   0.30	  48	  48
2017-07-27 14:00	UCT+1	 21	      10.066	   9.74	   0.33	  48	  48
2017-07-27 15:00	UCT+1	 21	      10.073	   9.73	   0.34	  48	  48
2017-07-27 16:00	UCT+1	 21	      10.074	   9.73	   0.34	  48	  48
