Record of quality controled Wind Speed1 Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

*********** Values exceeding 30.0000 replaced with missing value (NaN) ***********

Date/Time	TimeZone	EDay	Replaced Value

*********** Values less than 0.000000 replaced with missing value (NaN) ***********

Date/Time	TimeZone	EDay	Replaced Value
****************************************** REPEATING VALUES ********************************************

Record of quality controled Wind Speed1 Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

Date/Time	TimeZone	EDay	Replaced Value
2017-09-12 14:00	UCT+1	 19	       0.020
2017-09-12 15:00	UCT+1	 18	       0.020
2017-09-12 16:00	UCT+1	 18	       0.020
2017-09-12 17:00	UCT+1	 17	       0.020
2017-09-12 18:00	UCT+1	 15	       0.020
2017-09-12 19:00	UCT+1	 14	       0.020
2017-09-12 20:00	UCT+1	 13	       0.020
2017-09-12 21:00	UCT+1	 13	       0.020
2017-09-12 22:00	UCT+1	 13	       0.020
2017-09-12 23:00	UCT+1	 12	       0.020
2017-09-13 00:00	UCT+1	 12	       0.020
2017-09-13 01:00	UCT+1	  0	       0.020
2017-09-13 02:00	UCT+1	 12	       0.020
2017-09-13 03:00	UCT+1	 12	       0.020
2017-09-13 04:00	UCT+1	 11	       0.020
2017-09-13 05:00	UCT+1	 10	       0.020
2017-09-13 06:00	UCT+1	 10	       0.020
2017-09-13 07:00	UCT+1	 11	       0.020
2017-09-13 08:00	UCT+1	 12	       0.020
2017-09-13 09:00	UCT+1	 13	       0.020
2017-09-13 10:00	UCT+1	 15	       0.020
2017-09-13 11:00	UCT+1	 16	       0.020
2017-09-13 12:00	UCT+1	 16	       0.020
2017-09-13 13:00	UCT+1	 17	       0.020
2017-09-13 14:00	UCT+1	 17	       0.020
2017-09-13 15:00	UCT+1	 17	       0.020
2017-09-13 16:00	UCT+1	 15	       0.020
2017-09-13 17:00	UCT+1	 15	       0.020
2017-09-13 18:00	UCT+1	 13	       0.020
2017-09-13 19:00	UCT+1	 12	       0.020
2017-09-13 20:00	UCT+1	 12	       0.020
2017-09-13 21:00	UCT+1	 12	       0.020
2017-09-13 22:00	UCT+1	 12	       0.020
2017-09-13 23:00	UCT+1	 12	       0.020
2017-09-14 00:00	UCT+1	 11	       0.020
2017-09-14 01:00	UCT+1	  0	       0.020
2017-09-14 02:00	UCT+1	 11	       0.020
2017-09-14 03:00	UCT+1	 11	       0.020
2017-09-14 04:00	UCT+1	 11	       0.020
2017-09-14 05:00	UCT+1	 11	       0.020
2017-09-14 06:00	UCT+1	 11	       0.020
2017-09-14 07:00	UCT+1	 12	       0.020
2017-09-14 08:00	UCT+1	 12	       0.020
2017-09-14 09:00	UCT+1	 12	       0.020
2017-09-14 10:00	UCT+1	 13	       0.020
2017-09-14 11:00	UCT+1	 13	       0.020
2017-09-14 12:00	UCT+1	 13	       0.020
2017-09-14 13:00	UCT+1	 13	       0.020
2017-09-14 14:00	UCT+1	 14	       0.020
2017-09-14 15:00	UCT+1	 14	       0.020
2017-09-14 16:00	UCT+1	 14	       0.020
2017-09-14 17:00	UCT+1	 14	       0.020
2017-09-14 18:00	UCT+1	 13	       0.020
2017-09-14 19:00	UCT+1	 13	       0.020
2017-09-14 20:00	UCT+1	 12	       0.020
2017-09-14 21:00	UCT+1	 12	       0.020
2017-09-14 22:00	UCT+1	 12	       0.020
2017-09-14 23:00	UCT+1	 12	       0.020
2017-09-15 00:00	UCT+1	 12	       0.020
2017-09-15 01:00	UCT+1	  0	       0.020
2017-09-15 02:00	UCT+1	 11	       0.020
2017-09-15 03:00	UCT+1	 12	       0.020
2017-09-15 04:00	UCT+1	 11	       0.020
2017-09-15 05:00	UCT+1	 11	       0.020
2017-09-15 06:00	UCT+1	 11	       0.020
2017-09-15 07:00	UCT+1	 12	       0.020
2017-09-15 08:00	UCT+1	 13	       0.020
2017-09-15 09:00	UCT+1	 13	       0.020
2017-09-15 10:00	UCT+1	 14	       0.020
2017-09-15 11:00	UCT+1	 13	       0.020
2017-09-15 12:00	UCT+1	 14	       0.020
2017-09-15 13:00	UCT+1	 13	       0.020
2017-09-15 14:00	UCT+1	 13	       0.020
2017-09-15 15:00	UCT+1	 14	       0.020
2017-09-15 16:00	UCT+1	 15	       0.020
2017-09-15 17:00	UCT+1	 14	       0.020
2017-09-15 18:00	UCT+1	 12	       0.020
2017-09-15 19:00	UCT+1	 11	       0.020
2017-09-15 20:00	UCT+1	 11	       0.020
2017-09-15 21:00	UCT+1	 10	       0.020
2017-09-15 22:00	UCT+1	 10	       0.020
2017-09-15 23:00	UCT+1	 10	       0.020
2017-09-16 00:00	UCT+1	 10	       0.020
2017-09-16 01:00	UCT+1	  0	       0.020
2017-09-16 02:00	UCT+1	  9	       0.020
2017-09-16 03:00	UCT+1	  9	       0.020
2017-09-16 04:00	UCT+1	  9	       0.020
2017-09-16 11:00	UCT+1	 15	       0.020
2017-09-16 12:00	UCT+1	 15	       0.020
2017-09-16 13:00	UCT+1	 15	       0.020
2017-09-16 14:00	UCT+1	 15	       0.020
2017-09-16 15:00	UCT+1	 15	       0.020
2017-09-16 16:00	UCT+1	 15	       0.020
2017-09-16 17:00	UCT+1	 14	       0.020
2017-09-16 18:00	UCT+1	 14	       0.020
2017-09-16 19:00	UCT+1	 12	       0.020
2017-09-16 20:00	UCT+1	 11	       0.020
2017-09-16 21:00	UCT+1	 12	       0.020
2017-09-16 22:00	UCT+1	 12	       0.020
2017-09-16 23:00	UCT+1	 11	       0.020
2017-09-17 00:00	UCT+1	 10	       0.020
2017-09-17 01:00	UCT+1	  0	       0.020
2017-09-17 02:00	UCT+1	 10	       0.020
2017-09-17 03:00	UCT+1	  9	       0.020
2017-09-17 04:00	UCT+1	  9	       0.020
2017-09-17 05:00	UCT+1	  9	       0.020
2017-09-17 06:00	UCT+1	  9	       0.020
2017-09-17 07:00	UCT+1	  9	       0.020
2017-09-17 08:00	UCT+1	 10	       0.020
2017-09-17 09:00	UCT+1	 12	       0.020
2017-09-17 10:00	UCT+1	 14	       0.020
2017-09-17 11:00	UCT+1	 14	       0.020
2017-09-17 12:00	UCT+1	 14	       0.020
2017-09-17 13:00	UCT+1	 16	       0.020
2017-09-17 14:00	UCT+1	 14	       0.020
2017-09-17 15:00	UCT+1	 14	       0.020
2017-09-17 16:00	UCT+1	 14	       0.020
2017-09-17 17:00	UCT+1	 13	       0.020
2017-09-17 18:00	UCT+1	 12	       0.020
2017-09-17 19:00	UCT+1	 11	       0.020
2017-09-17 20:00	UCT+1	 10	       0.020
2017-09-17 21:00	UCT+1	  9	       0.020
2017-09-17 22:00	UCT+1	  7	       0.020
2017-09-17 23:00	UCT+1	  9	       0.020
2017-09-18 00:00	UCT+1	  9	       0.020
2017-09-18 01:00	UCT+1	  0	       0.020
2017-09-18 02:00	UCT+1	  8	       0.020
2017-09-18 03:00	UCT+1	  9	       0.020
2017-09-18 04:00	UCT+1	  8	       0.020
2017-09-18 05:00	UCT+1	  8	       0.020
2017-09-18 06:00	UCT+1	  8	       0.020
