Record of quality controled 3m Water Temp Data.  Caluclated using ErkenHrQC_5.pro on Thu Aug 08 09:03:27 2019
Input file = Is_Hr_Cum_orig2016-2019.csv

*********** Values exceeding monthly maximal threshold replaced with missing value (NaN) ***********

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold

*********** Values less than minimal monthly threshold replaced with missing value (NaN) ***********

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold

** Slightly negative values that are also greater than the minimum monthly threshold replaced with 0.0 **

Date/Time	TimeZone	JDay	Replaced Value	Exceeded Threshold
2017-01-05 02:00	UCT+1	  5	      -0.002	      -1.000
2017-01-05 03:00	UCT+1	  5	      -0.063	      -1.000
2017-01-05 04:00	UCT+1	  5	      -0.073	      -1.000
2017-01-05 05:00	UCT+1	  5	      -0.078	      -1.000
2017-01-05 06:00	UCT+1	  5	      -0.078	      -1.000
2017-01-05 07:00	UCT+1	  5	      -0.085	      -1.000
2017-01-05 08:00	UCT+1	  5	      -0.093	      -1.000
2017-01-05 09:00	UCT+1	  5	      -0.080	      -1.000
2017-01-05 10:00	UCT+1	  5	      -0.074	      -1.000
2017-01-05 11:00	UCT+1	  5	      -0.071	      -1.000
2017-01-05 12:00	UCT+1	  5	      -0.055	      -1.000
2017-01-05 13:00	UCT+1	  5	      -0.077	      -1.000
2017-01-05 14:00	UCT+1	  5	      -0.056	      -1.000
2017-01-05 15:00	UCT+1	  5	      -0.051	      -1.000
2017-01-05 16:00	UCT+1	  5	      -0.060	      -1.000
2017-01-05 17:00	UCT+1	  5	      -0.050	      -1.000
2017-01-05 18:00	UCT+1	  5	      -0.070	      -1.000
2017-01-05 19:00	UCT+1	  5	      -0.066	      -1.000
2017-01-05 20:00	UCT+1	  5	      -0.075	      -1.000
2017-01-05 21:00	UCT+1	  5	      -0.053	      -1.000
2017-01-05 22:00	UCT+1	  5	      -0.058	      -1.000
2017-01-05 23:00	UCT+1	  5	      -0.066	      -1.000
2017-01-06 00:00	UCT+1	  6	      -0.062	      -1.000
2017-01-06 01:00	UCT+1	  6	      -0.034	      -1.000
2017-01-06 02:00	UCT+1	  6	      -0.035	      -1.000
2017-01-06 03:00	UCT+1	  6	      -0.025	      -1.000
2017-01-06 04:00	UCT+1	  6	      -0.019	      -1.000
2017-01-06 05:00	UCT+1	  6	      -0.010	      -1.000
2017-01-06 06:00	UCT+1	  6	      -0.013	      -1.000
2017-01-06 07:00	UCT+1	  6	      -0.011	      -1.000
